angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.39,,"[260, 76, 96, 130]",,0.0,,0.06,,0.02,,0.47,,0.05,,0.01,
0.27,,"[260, 78, 97, 130]",,0.0,,0.06,,0.05,,0.53,,0.07,,0.01,
0.27,,"[260, 78, 97, 130]",,0.0,,0.06,,0.05,,0.53,,0.07,,0.01,
0.3,,"[260, 78, 97, 130]",,0.0,,0.09,,0.02,,0.51,,0.07,,0.01,
0.42,,"[258, 75, 102, 137]",,0.0,,0.05,,0.02,,0.45,,0.06,,0.0,
0.42,,"[258, 75, 102, 137]",,0.0,,0.05,,0.02,,0.45,,0.06,,0.0,
0.51,,"[254, 73, 105, 138]",,0.0,,0.06,,0.02,,0.34,,0.06,,0.01,
0.49,,"[243, 71, 116, 148]",,0.0,,0.11,,0.03,,0.29,,0.08,,0.01,
0.49,,"[243, 71, 116, 148]",,0.0,,0.11,,0.03,,0.29,,0.08,,0.01,
0.48,,"[258, 76, 99, 130]",,0.0,,0.1,,0.05,,0.29,,0.06,,0.01,
0.55,,"[241, 69, 118, 149]",,0.0,,0.11,,0.13,,0.1,,0.08,,0.03,
0.55,,"[241, 69, 118, 149]",,0.0,,0.11,,0.13,,0.1,,0.08,,0.03,
0.39,,"[244, 68, 114, 144]",,0.0,,0.05,,0.3,,0.2,,0.04,,0.02,
